iter	Passed	Remaining
0	150	150339
1	155	77425
2	159	53065
3	163	40819
4	168	33517
5	173	28698
6	176	25106
7	179	22289
8	182	20099
9	185	18352
10	188	16923
11	190	15724
12	193	14710
13	196	13843
14	199	13090
15	202	12432
16	203	11788
17	205	11207
18	206	10687
19	208	10220
20	210	9797
21	211	9419
22	213	9073
23	215	8750
24	216	8453
25	218	8178
26	219	7923
27	221	7689
28	223	7467
29	224	7261
30	226	7068
31	227	6889
32	229	6723
33	230	6556
34	232	6398
35	233	6250
36	234	6108
37	236	5974
38	237	5844
39	238	5723
40	239	5606
41	241	5500
42	242	5396
43	243	5294
44	244	5195
45	245	5100
46	247	5009
47	248	4921
48	249	4836
49	250	4754
50	251	4678
51	252	4603
52	253	4532
53	254	4464
54	255	4398
55	257	4334
56	258	4271
57	259	4211
58	260	4154
59	261	4099
60	262	4042
61	263	3989
62	264	3937
63	265	3888
64	267	3840
65	268	3795
66	269	3750
67	269	3699
68	271	3657
69	272	3616
70	273	3576
71	274	3536
72	275	3498
73	276	3460
74	277	3424
75	278	3390
76	280	3356
77	281	3323
78	282	3290
79	283	3258
80	284	3226
81	285	3196
82	286	3166
83	287	3136
84	288	3104
85	289	3077
86	290	3046
87	291	3020
88	292	2994
89	293	2968
90	294	2943
91	295	2920
92	297	2896
93	298	2873
94	299	2850
95	300	2828
96	301	2807
97	302	2785
98	303	2764
99	304	2743
100	306	2723
101	306	2700
102	307	2681
103	308	2661
104	309	2642
105	311	2623
106	312	2605
107	313	2586
108	314	2569
109	315	2552
110	316	2534
111	317	2518
112	318	2501
113	319	2484
114	320	2469
115	321	2452
116	323	2437
117	324	2423
118	325	2407
119	326	2392
120	327	2376
121	328	2361
122	328	2343
123	329	2329
124	330	2314
125	331	2301
126	332	2287
127	333	2272
128	334	2259
129	335	2246
130	336	2234
131	337	2222
132	338	2209
133	340	2197
134	341	2185
135	342	2173
136	343	2162
137	344	2149
138	345	2137
139	346	2126
140	347	2115
141	348	2104
142	349	2093
143	350	2082
144	351	2072
145	352	2062
146	353	2051
147	354	2041
148	355	2031
149	356	2022
150	357	2012
151	358	2002
152	359	1992
153	360	1982
154	362	1973
155	363	1964
156	364	1955
157	365	1946
158	366	1938
159	367	1929
160	368	1920
161	369	1911
162	370	1902
163	371	1894
164	372	1886
165	373	1878
166	374	1869
167	375	1861
168	376	1853
169	377	1845
170	379	1837
171	380	1829
172	381	1821
173	382	1814
174	383	1806
175	384	1799
176	385	1791
177	386	1784
178	387	1777
179	388	1769
180	389	1760
181	390	1753
182	391	1746
183	392	1739
184	393	1732
185	394	1725
186	395	1719
187	396	1711
188	397	1704
189	398	1698
190	399	1691
191	400	1684
192	401	1678
193	402	1672
194	403	1665
195	404	1659
196	405	1653
197	406	1647
198	407	1641
199	408	1635
200	409	1629
201	410	1623
202	411	1617
203	412	1611
204	414	1605
205	414	1599
206	416	1593
207	417	1589
208	418	1583
209	419	1578
210	420	1573
211	421	1567
212	422	1562
213	423	1556
214	424	1551
215	425	1546
216	427	1540
217	428	1535
218	429	1530
219	430	1525
220	431	1520
221	432	1515
222	433	1510
223	434	1505
224	435	1500
225	436	1495
226	437	1490
227	438	1485
228	439	1480
229	440	1475
230	441	1470
231	442	1466
232	443	1461
233	445	1456
234	446	1451
235	447	1447
236	448	1442
237	449	1438
238	450	1433
239	451	1429
240	452	1424
241	453	1419
242	454	1415
243	455	1410
244	456	1406
245	457	1401
246	458	1397
247	459	1393
248	460	1389
249	461	1384
250	462	1380
251	463	1376
252	464	1372
253	465	1368
254	466	1364
255	468	1360
256	469	1356
257	470	1353
258	471	1349
259	472	1345
260	474	1342
261	475	1338
262	476	1334
263	477	1331
264	478	1327
265	479	1323
266	481	1320
267	482	1316
268	483	1313
269	484	1309
270	485	1306
271	486	1302
272	487	1299
273	489	1296
274	490	1292
275	491	1289
276	492	1285
277	493	1282
278	494	1279
279	496	1275
280	497	1272
281	498	1269
282	499	1265
283	500	1262
284	501	1259
285	503	1255
286	504	1252
287	505	1249
288	506	1246
289	507	1242
290	508	1239
291	510	1236
292	511	1233
293	512	1230
294	513	1227
295	514	1223
296	515	1220
297	516	1217
298	518	1214
299	519	1211
300	520	1208
301	521	1205
302	522	1202
303	523	1199
304	525	1196
305	526	1193
306	527	1190
307	528	1187
308	529	1185
309	531	1181
310	532	1179
311	533	1176
312	534	1173
313	535	1170
314	536	1167
315	538	1164
316	539	1162
317	540	1159
318	541	1156
319	542	1153
320	543	1150
321	545	1147
322	546	1145
323	547	1142
324	548	1139
325	549	1136
326	551	1134
327	552	1131
328	553	1128
329	554	1125
330	555	1123
331	556	1120
332	557	1117
333	558	1114
334	560	1111
335	561	1109
336	562	1106
337	563	1103
338	564	1101
339	565	1098
340	567	1095
341	568	1093
342	569	1090
343	570	1087
344	571	1084
345	572	1082
346	573	1079
347	574	1077
348	575	1074
349	577	1071
350	578	1068
351	579	1066
352	580	1064
353	581	1061
354	582	1059
355	584	1056
356	585	1053
357	586	1051
358	587	1048
359	588	1046
360	590	1044
361	591	1041
362	592	1039
363	593	1036
364	594	1034
365	595	1032
366	597	1029
367	598	1027
368	599	1024
369	600	1022
370	601	1020
371	602	1017
372	604	1015
373	605	1013
374	606	1011
375	607	1008
376	608	1006
377	610	1003
378	611	1001
379	612	998
380	613	996
381	614	993
382	615	991
383	616	989
384	617	986
385	619	984
386	620	982
387	621	980
388	622	978
389	623	975
390	624	973
391	626	971
392	627	968
393	628	966
394	629	964
395	630	961
396	631	959
397	632	957
398	633	954
399	635	952
400	636	950
401	637	948
402	638	946
403	639	943
404	641	941
405	642	939
406	643	937
407	644	935
408	645	933
